customerid,cuscode,invoice_count,total_outstanding_usd,total_outstanding_lkr,avg_overdue_days,max_overdue_days,num_overdue_invoices,pct_overdue_invoices,avg_invoice_value_usd,outstanding_0_30,outstanding_31_60,outstanding_61_90,outstanding_91_plus,receipt_count,unapplied_credit_abs,has_unapplied_receipt,debit_note_count,total_debit_note_usd,credit_note_count,total_credit_note_usd,receipt_to_invoice_ratio,customer,country,behaviour_cluster,cluster_name,total_sales_value,avg_invoice_value,active_months,recency_days,purchase_frequency,relationship_years,unique_products,unique_categories,category_concentration,top_category,risk_band,risk_band_encoded
1002010000765,12856,2,938.9137293418707,280000.0,22.5,45,1,0.5,469.4568646709354,563.235411951386,375.6783173904847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Darjeeling Cedar Exports 3E9,SRI LANKA,1.0,High Frequency Buyers,237288.13,118644.065,2.0,120.0,1.0,0.15,1.0,1.0,1.0,GLOBAL,Medium,2
1002880000733,12874,2,1377.7820425247908,410640.0,11.5,23,1,0.5,688.8910212623954,1377.7820425247908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oolong Ivy Imports,SRI LANKA,1.0,High Frequency Buyers,348000.0,174000.0,2.0,125.0,1.0,0.08,1.0,1.0,1.0,GLOBAL,Medium,2
10031000009075,12275,20,15087.481798820289,4498753.0,6.95,23,11,0.55,754.3740899410144,15087.481798820289,0.0,0.0,0.0,2.0,250000.0,1.0,0.0,0.0,0.0,0.0,0.1,Matcha Sage Distributors 829,SRI LANKA,4.0,High Value One-Off,56883440.03,38881.367074504444,43.0,112.0,5.116,4.23,111.0,2.0,0.5,RETAIL,Medium,2
10032000007593,12702,3,563.0198837406206,167078.3,90.0,114,3,1.0,187.67329458020686,0.0,0.0,433.0125853020942,130.0072984385263,1.0,100000.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,Sencha Bamboo Tea Co. AEF,SRI LANKA,1.0,High Frequency Buyers,576583.33,52416.66636363636,8.0,186.0,1.375,0.68,2.0,1.0,1.0,GLOBAL,High,0
10048000003503,12343,2,185.5,58385.3,673.0,772,2,1.0,92.75,0.0,0.0,0.0,185.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Herbal Sage Imports,KAZAKHSTAN,4.0,High Value One-Off,222793.38,5181.241395348838,3.0,825.0,1.0,1.18,21.0,2.0,0.5,RETAIL,High,0
1020110002456,12866,1,61.2027421480609,18166.1,31.0,31,1,1.0,61.2027421480609,0.0,61.2027421480609,0.0,0.0,1.0,15395.0,1.0,0.0,0.0,0.0,0.0,1.0,White Pearl Maple Beverages E36,SRI LANKA,0.0,No Sales History,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,High,0
10245000004714,12261,2,51.0,14720.0,264.5,301,2,1.0,25.5,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Assam Cedar Distributors,MOROCCO,4.0,High Value One-Off,130689.92,1866.998857142857,4.0,336.0,1.0,2.9,33.0,2.0,0.5,FOOD SERVICE,High,0
1026660000573,12857,1,16.26006992835847,4850.0,6.0,6,1,1.0,16.26006992835847,16.26006992835847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White Pearl Hibiscus Tea Works CBD,SRI LANKA,1.0,High Frequency Buyers,39600.0,19800.0,2.0,120.0,1.0,0.15,2.0,1.0,1.0,GLOBAL,High,0
10271000007691,12588,9,2457.401415141428,732682.1000000001,52.666666666666664,131,8,0.8889,273.0446016823809,1200.586719904853,1032.3306935557048,74.69580362970432,149.78819805116595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TeaLeaf Magnolia Imports D1A,SRI LANKA,0.0,No Sales History,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,High,0
10271000007704,12589,3,75686.9,22612355.5,138.0,242,3,1.0,25228.966666666664,75536.9,0.0,0.0,150.0,2.0,46860.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,Ceylon Bamboo Imports,SAUDI ARABIA,4.0,High Value One-Off,371131.74,37113.174,4.0,112.0,1.5,1.57,3.0,2.0,0.5,BULK,High,0
